City,Neighbourhood,Sale Value
Boston,Allston-Brighton,715684
Boston,Back Bay,1815113
Boston,Beacon Hill,1139333
Boston,Brookline,893714
Boston,Cambridge,1004526
Boston,Charlestown,732000
Boston,Chestnut Hill,1575098
Boston,Chinatown,842872
Boston,Dorchester,1990000
Boston,Downtown,1271655
Boston,Downtown Crossing,1151184
Boston,East Boston,511108
Boston,Fenway/Kenmore,657839
Boston,Financial District,1151184
Boston,Government Center,1271655
Boston,Harvard Square,1067813
Boston,Hyde Park,497125
Boston,Jamaica Plain,937919
Boston,Leather District,1151184
Boston,Mattapan,453399
Boston,Mission Hill,509180
Boston,North End,858030
Boston,Roslindale,656588
Boston,Roxbury,606810
Boston,Somerville,1025126
Boston,South Boston,869427
Boston,South End,1546997
Boston,Theater District,842872
Boston,West End,782795
Boston,West Roxbury,693090
