City,Neighbourhood,Sale Value
New York City,Allerton,650000
New York City,Arden Heights,492500
New York City,Arrochar,549000
New York City,Arverne,554450
New York City,Astoria,977500
New York City,Bath Beach,1040000
New York City,Battery Park City,1620000
New York City,Bay Ridge,588000
New York City,Bay Terrace,581500
New York City,"Bay Terrace, Staten Island",629500
New York City,Baychester,590000
New York City,Bayside,1150000
New York City,Bayswater,554450
New York City,Bedford-Stuyvesant,1080000
New York City,Belle Harbor,1170000
New York City,Bellerose,635000
New York City,Belmont,945000
New York City,Bensonhurst,1250000
New York City,Bergen Beach,869000
New York City,Boerum Hill,1450000
New York City,Borough Park,1290000
New York City,Breezy Point,1880000
New York City,Briarwood,340000
New York City,Brighton Beach,574000
New York City,Bronxdale,695000
New York City,Brooklyn Heights,1800000
New York City,Brownsville,699000
New York City,Bull's Head,564990
New York City,Bushwick,1190000
New York City,Cambria Heights,588990
New York City,Canarsie,702500
New York City,Carroll Gardens,1820000
New York City,Castle Hill,624500
New York City,Castleton Corners,619000
New York City,Chelsea,1920000
New York City,Chinatown,1990000
New York City,City Island,559490
New York City,Civic Center,1500000
New York City,Claremont Village,695000
New York City,Clason Point,572000
New York City,Clifton,399900
New York City,Clinton Hill,1140000
New York City,Cobble Hill,1700000
New York City,College Point,875000
New York City,Columbia St,1058632
New York City,Concord,588400
New York City,Concourse,499000
New York City,Concourse Village,319990
New York City,Coney Island,499000
New York City,Co-op City,570000
New York City,Corona,899000
New York City,Crown Heights,949990
New York City,Cypress Hills,722000
New York City,Ditmars Steinway,1440000
New York City,Dongan Hills,634940
New York City,Douglaston,1150000
New York City,Downtown Brooklyn,1058632
New York City,DUMBO,1830000
New York City,Dyker Heights,963500
New York City,East Elmhurst,932450
New York City,East Flatbush,722000
New York City,East Harlem,875000
New York City,East Morrisania,609000
New York City,East New York,739000
New York City,East Village,892500
New York City,Eastchester,599000
New York City,Edenwald,664900
New York City,Edgemere,629500
New York City,Elmhurst,539490
New York City,Eltingville,564900
New York City,Emerson Hill,1080000
New York City,Far Rockaway,598000
New York City,Fieldston,407000
New York City,Financial District,1500000
New York City,Flatbush,812500
New York City,Flatiron District,2450000
New York City,Flatlands,675000
New York City,Flushing,789000
New York City,Fordham,599990
New York City,Forest Hills,447000
New York City,Fort Greene,1250000
New York City,Fort Hamilton,963500
New York City,Fort Wadsworth,588400
New York City,Fresh Meadows,929990
New York City,Glendale,850000
New York City,Gowanus,1270000
New York City,Gramercy,1140000
New York City,Graniteville,428900
New York City,Grant City,525000
New York City,Gravesend,872000
New York City,Great Kills,589900
New York City,Greenpoint,1440000
New York City,Greenwich Village,1200000
New York City,Grymes Hill,399990
New York City,Harlem,948000
New York City,Hell's Kitchen,1120000
New York City,Highbridge,450000
New York City,Hollis,704990
New York City,Holliswood,704990
New York City,Howard Beach,689000
New York City,Howland Hook,394000
New York City,Huguenot,589900
New York City,Hunts Point,899990
New York City,Inwood,409000
New York City,Jackson Heights,459000
New York City,Jamaica,639000
New York City,Jamaica Estates,469990
New York City,Jamaica Hills,724880
New York City,Kensington,549000
New York City,Kew Gardens,362000
